Provider,PotentialFraud,Inpatient_ClaimCount,Inpatient_UniquePatients,Inpatient_TotalReimbursed,Inpatient_AvgReimbursed,Inpatient_StdReimbursed,Inpatient_MaxReimbursed,Inpatient_TotalDeductible,Inpatient_AvgDeductible,Inpatient_ClaimDurationRange,Inpatient_AdmissionCount,Inpatient_DeceasedClaims,Inpatient_AvgAge,Outpatient_ClaimCount,Outpatient_UniquePatients,Outpatient_TotalReimbursed,Outpatient_AvgReimbursed,Outpatient_StdReimbursed,Outpatient_MaxReimbursed,Outpatient_TotalDeductible,Outpatient_AvgDeductible,Outpatient_ClaimDurationRange,Outpatient_DeceasedClaims,Outpatient_AvgAge,Inpatient_ChronicCond_Alzheimer,Inpatient_ChronicCond_Heartfailure,Inpatient_ChronicCond_KidneyDisease,Inpatient_ChronicCond_Cancer,Inpatient_ChronicCond_ObstrPulmonary,Inpatient_ChronicCond_Depression,Inpatient_ChronicCond_Diabetes,Inpatient_ChronicCond_IschemicHeart,Inpatient_ChronicCond_Osteoporasis,Inpatient_ChronicCond_rheumatoidarthritis,Inpatient_ChronicCond_stroke,Outpatient_ChronicCond_Alzheimer,Outpatient_ChronicCond_Heartfailure,Outpatient_ChronicCond_KidneyDisease,Outpatient_ChronicCond_Cancer,Outpatient_ChronicCond_ObstrPulmonary,Outpatient_ChronicCond_Depression,Outpatient_ChronicCond_Diabetes,Outpatient_ChronicCond_IschemicHeart,Outpatient_ChronicCond_Osteoporasis,Outpatient_ChronicCond_rheumatoidarthritis,Outpatient_ChronicCond_stroke,Total_ClaimCount,Total_UniquePatients,Total_Reimbursed,Total_DeceasedClaims,AvgReimbursed_PerPatient,AvgClaims_PerPatient,DeceasedClaim_Rate,Inpatient_Ratio
PRV51001,0,5.0,5.0,97000.0,19400.0,18352.11159512714,42000.0,5340.0,1068.0,151.0,5.0,0.0,78.2,20.0,19.0,7640.0,382.0,422.817616522899,1500.0,0.0,0.0,358.0,0.0,78.3,2.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,0.0,3.0,2.0,13.0,15.0,13.0,4.0,8.0,5.0,17.0,19.0,6.0,5.0,4.0,25.0,19.0,104640.0,0.0,5507.368421052632,1.3157894736842106,0.0,0.2
PRV51003,1,62.0,53.0,573000.0,9241.935483870968,8513.606243799273,57000.0,66216.0,1068.0,337.0,62.0,1.0,70.38709677419355,70.0,66.0,32670.0,466.7142857142857,821.3645793779573,3300.0,70.0,1.0,348.0,0.0,68.81428571428572,32.0,36.0,39.0,7.0,23.0,25.0,49.0,55.0,13.0,19.0,7.0,24.0,44.0,25.0,3.0,18.0,29.0,51.0,57.0,20.0,19.0,5.0,132.0,66.0,605670.0,1.0,9176.818181818182,2.0,0.007575757575757576,0.4696969696969697
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,52170.0,350.13422818791946,689.9637540197714,3300.0,310.0,2.0805369127516777,358.0,1.0,71.81208053691275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,88.0,50.0,16.0,41.0,63.0,105.0,108.0,49.0,46.0,17.0,149.0,138.0,52170.0,1.0,378.04347826086956,1.0797101449275361,0.006711409395973154,0.0
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,280910.0,241.1244635193133,491.556391867259,4080.0,3700.0,3.1759656652360513,376.0,4.0,70.00085836909871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,680.0,507.0,165.0,295.0,485.0,799.0,895.0,344.0,331.0,124.0,1165.0,495.0,280910.0,4.0,567.4949494949495,2.3535353535353534,0.0034334763948497852,0.0
PRV51007,0,3.0,3.0,19000.0,6333.333333333333,3511.884584284246,10000.0,3204.0,1068.0,157.0,3.0,0.0,78.33333333333333,69.0,56.0,14710.0,213.18840579710144,447.2316571506486,3300.0,60.0,0.8695652173913043,356.0,1.0,68.3768115942029,2.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0,24.0,37.0,21.0,12.0,16.0,27.0,46.0,48.0,21.0,21.0,10.0,72.0,56.0,33710.0,1.0,601.9642857142857,1.2857142857142858,0.013888888888888888,0.041666666666666664
PRV51008,0,2.0,2.0,25000.0,12500.0,12020.815280171308,21000.0,2136.0,1068.0,59.0,2.0,0.0,51.0,41.0,34.0,10630.0,259.2682926829268,404.0383041488916,1900.0,180.0,4.390243902439025,355.0,0.0,76.21951219512195,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,25.0,13.0,8.0,8.0,12.0,29.0,31.0,11.0,6.0,2.0,43.0,34.0,35630.0,0.0,1047.9411764705883,1.2647058823529411,0.0,0.046511627906976744
PRV51011,0,1.0,1.0,5000.0,5000.0,0.0,5000.0,1068.0,1068.0,0.0,1.0,0.0,97.0,57.0,52.0,11630.0,204.03508771929825,310.7873621322992,1600.0,300.0,5.2631578947368425,359.0,1.0,73.45614035087719,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,24.0,37.0,24.0,4.0,21.0,30.0,40.0,43.0,19.0,15.0,2.0,58.0,52.0,16630.0,1.0,319.8076923076923,1.1153846153846154,0.017241379310344827,0.017241379310344827
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,16890.0,351.875,707.8936578689371,3300.0,100.0,2.0833333333333335,352.0,0.0,74.02083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,22.0,6.0,21.0,19.0,35.0,38.0,17.0,17.0,3.0,48.0,31.0,16890.0,0.0,544.8387096774194,1.5483870967741935,0.0,0.0
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,14880.0,323.4782608695652,471.622341339171,1800.0,230.0,5.0,343.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,19.0,4.0,16.0,18.0,37.0,36.0,12.0,16.0,2.0,46.0,44.0,14880.0,0.0,338.1818181818182,1.0454545454545454,0.0,0.0
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10480.0,349.3333333333333,822.984196996362,3300.0,120.0,4.0,352.0,1.0,70.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,16.0,2.0,9.0,10.0,19.0,20.0,6.0,12.0,3.0,30.0,25.0,10480.0,1.0,419.2,1.2,0.03333333333333333,0.0
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,700.0,87.5,74.01737247816507,200.0,0.0,0.0,260.0,0.0,71.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,3.0,4.0,7.0,8.0,7.0,3.0,3.0,1.0,8.0,7.0,700.0,0.0,100.0,1.1428571428571428,0.0,0.0
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,170.0,28.333333333333332,37.638632635454044,90.0,0.0,0.0,232.0,0.0,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,3.0,1.0,6.0,6.0,170.0,0.0,28.333333333333332,1.0,0.0,0.0
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,142720.0,277.126213592233,570.1818038894332,3300.0,1050.0,2.0388349514563107,379.0,5.0,72.14368932038835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,294.0,215.0,58.0,159.0,210.0,351.0,386.0,184.0,128.0,47.0,515.0,420.0,142720.0,5.0,339.8095238095238,1.2261904761904763,0.009708737864077669,0.0
PRV51021,1,29.0,23.0,269000.0,9275.862068965518,10277.911654625932,57000.0,30972.0,1068.0,367.0,29.0,0.0,70.48275862068965,228.0,187.0,79830.0,350.13157894736844,631.2399379496628,3300.0,520.0,2.280701754385965,382.0,1.0,72.85087719298245,15.0,17.0,20.0,6.0,18.0,13.0,27.0,24.0,12.0,14.0,9.0,79.0,128.0,102.0,54.0,85.0,103.0,167.0,172.0,58.0,71.0,18.0,257.0,187.0,348830.0,1.0,1865.4010695187167,1.374331550802139,0.0038910505836575876,0.11284046692607004
PRV51023,0,9.0,9.0,54000.0,6000.0,3741.657386773941,13000.0,8544.0,1068.0,296.0,9.0,0.0,73.33333333333333,27.0,27.0,11610.0,430.0,668.511549868581,2200.0,80.0,2.962962962962963,347.0,0.0,72.55555555555556,7.0,6.0,5.0,2.0,4.0,4.0,5.0,9.0,1.0,1.0,1.0,9.0,15.0,11.0,3.0,6.0,12.0,16.0,21.0,8.0,7.0,4.0,36.0,27.0,65610.0,0.0,2430.0,1.3333333333333333,0.0,0.25
